Country.Name,units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Renewables,Billion Kwh,0.2,0.4,0.5,0.2,0.5,0.6,0.2,0.5,0.2,0.3,0.1,0.3,0.2,0.3,0.2,0.2,0.1,0.074,0.2,0.2,0.053,0.068,0.056,0.3,0.2,0.549,0.216,0.224,0.28,0.303,0.172,0.497,0.616,0.327,0.251
Hydroelectricity,Billion Kwh,0.2,0.4,0.5,0.2,0.5,0.6,0.2,0.5,0.2,0.3,0.1,0.3,0.2,0.3,0.2,0.2,0.1,0.074,0.2,0.2,0.053,0.068,0.056,0.3,0.2,0.549,0.216,0.224,0.28,0.303,0.172,0.497,0.616,0.327,0.251
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,6.4,7.3,8.4,9.4,10,11,12,13,14,14,15,16,17,18,19,18,19,20,21,23,24,25,26,28,29,31.3584,32.90752,34.7518,37.55582,35.903,42.826,47.679,53.369,55.9864,60.14872
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.0651,0.06231,0.06231,0.06603,0.06417,0.07719,0.06975,0.07533,0.08463,0.0837,0.08742,0.09486,0.09486,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.16554,0.16833,0.17112,0.17391,0.16554,0.14787,0.14415,0.14601,0.14508,0.14508
Generation,Billion Kwh,0.07,0.067,0.067,0.071,0.069,0.083,0.075,0.081,0.091,0.09,0.094,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.178,0.181,0.184,0.187,0.178,0.159,0.155,0.157,0.156,0.156
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
