Country.Name,units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Non-Hydroelectric Renewables,Billion Kwh,,,,5.00E-05,5.00E-05,5.00E-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0011,0.0101,0.0102,0.0102,0.0102,0.0102,0.0242,0.1,0.2,0.2,0.4,0.5,0.6002,0.6002,0.8002,0.9002,1.1002,1.706,1.743,1.497,1.532,1.57
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,0.001,0.01,0.01,0.01,0.01,0.01,0.024,0.1,0.2,0.2,0.4,0.5,0.6,0.6,0.8,0.9,1.1,1.5,1.52,1.26,1.29,1.32
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,5.00E-05,5.00E-05,5.00E-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.206,0.223,0.237,0.242,0.25
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,5.00E-05,5.00E-05,5.00E-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.206,0.223,0.237,0.242,0.25
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,8.6,10,9.6,12,19,24,26,29,28,30,32,34,35,37,39,41,40,44,48,50,60,64,72,77,83,89.76436,95.75404,102.26072,108.518,117.50376,124.123,134.162,139.856,144.36614,146.83364
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,1.4,1.5,1.5,1.4,1.6,1.5,1.6,1.6,1.7,1.7,1.7,1.6,1.7,2,2.4,2.8,2.9,3.1,3.2,3.4,4.1,3.9,3.8,4,4,4.5114,4.827,5.272,5.248,5.242,5.379,5.371,5.655,5.85514,5.73152
Generation,Billion Kwh,1.6,1.7,1.8,1.6,1.8,1.8,1.7,1.9,2,2.1,2,1.9,2,2.4,2.8,3.3,3.3,3.5,3.7,3.7,3.7,3.8,4,4.3,4.3,4.7624,5.515,5.697,5.969,5.824,6.063,6.001,6.18,6.11814,6.05552
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,1.5,1.5,1.7,1.5,1.7,1.6,1.6,1.6,1.7,1.9,1.9,1.3,1.4,1.6,1.6,1.9,2.3,1.9,2,2.4,2,2.1,2.1,2.5,2.4,2.853,3.157,3.234,3.707,3.232,3.862,3.823,3.752,3.786,3.698
Hydroelectricity,Billion Kwh,1.1,0.8,0.8,0.8,1,1.2,1.2,1.1,1.3,1.4,1.4,0.8,1,1.2,1.2,1.5,1.9,1.4,1.6,1.7,1.2,1.2,1.1,1.5,1.4,1.664,1.957,1.734,2.033,1.5,2.079,2.006,1.842,1.785,1.701
Non-Hydroelectric Renewables,Billion Kwh,0.5,0.8,0.9,0.7,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,1,1,1.1,1.1,1.189,1.2,1.5,1.674,1.732,1.783,1.817,1.91,2.001,1.997
Geothermal,Billion Kwh,0.5,0.8,0.9,0.6,0.7,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,1,1,1,1,1.1,1.1,1.4,1.5,1.5,1.5,1.534,1.535,1.56,1.558
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,0.006,0.026,0.02,0.026,0.024,0.024,0.026,0.017,0.021,0.023,0.021,0.016,0.029,0.015,0.005,0.006,0.019,0.021,0.023,0.023,0.02,0.019,0.022,0.041,0.061,0.089,0.1,0.1,0.174,0.232,0.283,0.283,0.375,0.441,0.439
Fossil Fuels,Billion Kwh,0.094,0.1,0.094,0.1,0.099,0.2,0.1,0.4,0.3,0.2,0.2,0.6,0.6,0.9,1.2,1.4,1,1.6,1.7,1.3,1.8,1.7,1.8,1.7,1.9,1.9094,2.358,2.463,2.262,2.592,2.201,2.178,2.428,2.33214,2.35752
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.01581,0.01395,0.01302,0.01116,0.01395,0.01581,0.01488,0.01581,0.01581,0.01581,0.01581,0.01581,0.01674,0.01674,0.01674,0.01767,0.01767,0.0186,0.01953,0.01953,0.03906,0.05022,0.05673,0.07068,0.0744,0.07905,0.0837,0.08742,0.08742,0.08742,0.08742,0.08556,0.08556,0.08556,0.09114
Generation,Billion Kwh,0.017,0.015,0.014,0.012,0.015,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.042,0.054,0.061,0.076,0.08,0.085,0.09,0.094,0.094,0.094,0.094,0.092,0.092,0.092,0.098
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008
Hydroelectricity,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.015,0.013,0.012,0.01,0.013,0.015,0.014,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.04,0.052,0.056,0.069,0.073,0.078,0.083,0.087,0.087,0.087,0.087,0.085,0.085,0.085,0.09
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22478,0.21598,0.22784,0.2249,0.24242,0.25346,0.267,0.281,0.29034,0.29792
Generation,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.27078,0.25298,0.27084,0.2699,0.27742,0.29246,0.317,0.338,0.34134,0.34792
Nuclear,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Hydroelectricity,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Geothermal,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Biomass and Waste,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.26978,0.25098,0.26884,0.2679,0.27542,0.29046,0.315,0.336,0.33934,0.34592
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,6.8,5.7,5.9,5.6,5.9,6.2,6.1,5.7,5.9,5.8,6.1,6.5,6.8,6.88836,7.32888,7.6933,7.85396,7.48572,7.9478,7.679,8.219,8.0643,8.18696
Generation,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,11,8.6,8.6,8.2,8.6,8.7,8,7.8,8,8,8.1,9.6,9.7,9.59936,9.15588,11.4673,9.92496,8.28972,12.2488,12.19,11.338,12.5563,11.78296
Nuclear,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.008,0.007,0.011,0.017,0.017,0.019,0.019,0.03,0.049,0.06,0.111,0.13,0.145,0.164,0.546,1.044,1.179,1.477,1.281,1.458
Hydroelectricity,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.002,0.002,0.003,0.004,0.004,0.005,0.007,0.006,0.013,0.022,0.022,0.014,0.021,0.028,0.032,0.027,0.03,0.042,0.026,0.027
Non-Hydroelectric Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,0.006,0.005,0.008,0.013,0.013,0.014,0.012,0.024,0.036,0.038,0.089,0.116,0.124,0.136,0.514,1.017,1.149,1.435,1.255,1.431
Geothermal,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,0.001,0.001,0.001,0.001,0.001,0.006,0.008,0.054,0.076,0.091,0.1,0.2,0.277,0.368,0.434,0.53,0.6
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,0.006,0.005,0.008,0.012,0.012,0.013,0.011,0.023,0.03,0.03,0.035,0.04,0.033,0.036,0.314,0.74,0.781,1.001,0.725,0.831
Fossil Fuels,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,11,8.6,8.6,8.2,8.6,8.7,8,7.8,8,8,8.1,9.6,9.6,9.48836,9.02588,11.3223,9.76096,7.74372,11.2048,11.011,9.861,11.2753,10.32496
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.2,1.2,1.1,1.1,1.1,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.8,1.8,2,2.3,2.53128,2.9084,3.14828,3.33808,3.53166,4.18244,4.6833,5.23,6.02652,6.69346
Generation,Billion Kwh,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,2,2,2.3,2.5,2.81628,3.2354,3.50328,3.71608,3.93066,4.92944,6.2823,7.533,8.63552,9.52046
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.6,2,2,2.3,2.5,2.805,3.226,3.351,3.2771,3.5133,4.9003,6.2473,7.522,8.628,9.512
Hydroelectricity,Billion Kwh,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.6,2,2,2.3,2.5,2.805,3.226,3.351,3.263,3.489,4.882,6.199,7.314,8.255,9.103
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,0.026,0.02,0.005,0.0001,,,,,,,0.0141,0.0243,0.0183,0.0483,0.208,0.373,0.409
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,0.026,0.02,0.005,0.0001,,,,,,,0.014,0.024,0.018,0.018,0.016,0.017,0.019
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.192,0.356,0.39
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.0003,0.0003,0.0003,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.0003,0.0003,0.0003,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.094,0.2,0.093,0.039,0.041,0.045,0.045,0.018,0.02162,0.01786,0.01974,0.01504,0.01692,0.01128,0.0094,0.15228,0.43898,0.41736,0.02914,0.035,0.011,0.00752,0.00846
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.00186,0.00279,0.00279,0.00279,0.00558,0.00744,0.00837,0.00837,0.01023,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.01023,0.01023,0.01023,0.01116,0.01116,0.013206,0.014136,0.014136,0.0141825,0.0141825,0.0141825,0.015159,0.015159,0.01674,0.01674,0.01395,0.01395,0.01395,0.01395,0.01395
Generation,Billion Kwh,0.002,0.003,0.003,0.003,0.006,0.008,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.0142,0.0152,0.0152,0.01525,0.01525,0.01525,0.0163,0.0163,0.018,0.018,0.015,0.015,0.015,0.015,0.015
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.004,0.005,0.005,0.005,0.005
Hydroelectricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.004,0.005,0.005,0.005,0.005
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.004,0.005,0.005,0.005,0.005
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.002,0.003,0.003,0.003,0.006,0.008,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.014,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.011,0.01,0.01,0.01,0.01
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21925029,0.23236608,0.2412606,0.24631143,0.24600081,0.24937299,0.24552,0.2604,0.2604,0.27621
Generation,Billion Kwh,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.235753,0.249856,0.25942,0.264851,0.264517,0.268143,0.264,0.28,0.28,0.297
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073423,0.075605,0.07557,0.070144,0.075616,0.077047,0.070015,0.075785,0.075699,0.096088,0.087823,0.1,0.108318,0.114912,0.119166,0.10789,0.106487,0.08076,0.107,0.11,0.111,0.156
Hydroelectricity,Billion Kwh,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073,0.075,0.075,0.069564,0.075066,0.076501,0.069453,0.075262,0.075195,0.095535,0.08483,0.093443,0.097986,0.099934,0.103407,0.094921,0.091482,0.06676,0.092,0.099,0.091,0.121
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,0.000423,0.000605,0.00057,0.00058,0.00055,0.000546,0.000562,0.000523,0.000504,0.000553,0.002993,0.007509,0.010332,0.014978,0.015759,0.012969,0.015005,0.014,0.015,0.011,0.02,0.035
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,0.000423,0.000605,0.00057,0.00058,0.00055,0.000546,0.000562,0.000523,0.000504,0.000553,0.002993,0.007509,0.010332,0.014978,0.015759,0.012969,0.015005,0.014,0.015,0.011,0.02,0.035
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.093,0.092,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.127435,0.134944,0.140254,0.156961,0.15803,0.187383,0.157,0.17,0.169,0.141
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.655743,0.703173,0.738513,0.730143,0.734793,0.776643,0.745023,0.74679,0.79701,0.79887
Generation,Billion Kwh,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7051,0.7561,0.7941,0.7851,0.7901,0.8351,0.8011,0.803,0.857,0.859
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,0.049,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.3591,0.3611,0.5381,0.5151,0.4801,0.4201,0.4611,0.532,0.532,0.405
Hydroelectricity,Billion Kwh,,,,0.049,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.4,0.339,0.341,0.508,0.495,0.46,0.414,0.456,0.525,0.527,0.401
Non-Hydroelectric Renewables,Billion Kwh,,,,,0.001,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02002,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0301,0.0201,0.0201,0.0061,0.0051,0.007,0.005,0.004
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,0.006,0.005,0.007,0.005,0.004
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,2.00E-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,2.00E-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,
Biomass and Waste,Billion Kwh,,,,,0.001,0.001,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,
Fossil Fuels,Billion Kwh,0.3,0.3,0.3,0.3,0.094,0.096,0.063,0.057,0.067,0.079,0.077,0.082,0.075,0.085,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.346,0.395,0.256,0.27,0.31,0.415,0.34,0.271,0.325,0.454
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,38,39,39,42,46,49,50,53,48,57,65,65,61,63,66,65,67,71,74,75,76,78,81,82,84,81.89286,87.2897,87.3532,83.8363,78.47644,85.07252,81.775,82.431,81.74666,80.87386
Generation,Billion Kwh,39,39,39,40,43,47,47,51,44,51,57,60,56,59,63,61,66,66,67,67,67,71,72,80,82,67.91886,78.9427,77.8392,74.3983,69.16544,77.33752,70.621,67.9,68.64066,65.67886
Nuclear,Billion Kwh,6.6,14,16,17,18,18,18,19,18,18,18,19,18,19,18,18,19,19,21,22,21,22,21,22,22,22.356,21.999,22.505,22.05,22.601,21.889,22.266,22.063,22.698,22.646
Renewables,Billion Kwh,10,14,13,13,13,12,12,14,13,13,16,18,20,19,18,19,18,20,25,21,23,22,20,19,26,23.549,22.582,24.239,27.819,21.818,24.28,24.283,28.627,25.837,26.518
Hydroelectricity,Billion Kwh,10,14,13,13,13,12,12,14,13,13,11,13,15,13,12,13,12,12,15,13,15,13,11,9.5,15,13.646,11.379,14.035,16.941,12.559,12.793,12.321,16.69,12.71,13.263
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,5.2,5,5,6,6.5,6.6,6.2,8.2,9.7,8.7,8.8,8.5,9.2,9.6,11,9.903,11.203,10.204,10.878,9.259,11.487,11.962,11.937,13.127,13.255
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
